Basic Pay,Gross Pay and Allowances,Qualification Pay,Total Deductions
"74,730.00","163,608.00",,
,,,"16,902.00"
,,,
,,,
"59,070.00",,,
,"123,832.00",,
,,,"28,387.00"
,,,
,,,
"34,490.00","76,309.00",,
,,,"3,362.00"
,,,
,,,
"32,510.00","70,616.00",,
,,,"11,207.00"
,,,
,,,
"60,810.00",,,
,"77,672.00",,
,,,"11,650.00"
,,,
,,,
"55,590.00","117,153.00",,
,,,"15,456.00"
,,,
,,,
"33,170.00","73,932.00",,
,,,"3,343.00"
,,,
,,,
"62,550.00",,,
,"130,891.00",,
,,,"12,492.00"
,,,
,,,
"31,660.00","71,898.00",,
,,,"10,145.00"
,,,
,,,
"34,490.00","76,509.00",,
,,,"11,378.00"
,,,
,,,
"60,810.00",,,
,"126,322.00",,
,,,"22,540.00"
,,,
,,,
"50,370.00",,,
,"105,994.00",,
,,,"16,225.00"
,,,
,,,
"32,510.00","72,543.00",,
,,,"8,241.00"
,,,
,,,
"53,850.00","111,074.00",,
,,,"12,213.00"
,,,
,,,
"30,530.00","67,677.00",,
,,,"7,940.00"
,,,
,,,
"27,600.00","60,762.00",,
,,,"6,333.00"
,,,
,,,
"60,810.00","130,112.00",,
,,,"11,877.00"
,,,
,,,
"27,600.00","60,052.00",,
,,,"7,431.00"
,,,
,,,
"29,210.00","63,746.00",,
,,,"7,736.00"
,,,
,,,
"39,060.00","83,733.00",,
,,,"10,521.00"
,,,
,,,
"29,210.00","63,946.00",,
,,,"2,757.00"
,,,
,,,
"31,850.00","66,172.00",,
,,,"9,053.00"
,,,
,,,
"27,600.00","71,221.00",,
,,,"9,209.00"
,,,
,,,
"27,600.00","60,052.00",,
,,,"2,325.00"
,,,
,,,
"41,440.00",,,
,"61,732.00",,
,,,"2,409.00"
,,,
,,,
"46,890.00","99,295.00",,
,,,"15,484.00"
,,,
,,,
"34,490.00","77,722.00",,
,,,"15,353.00"
,,,
,,,
"49,240.00",,,
,"103,968.00",,
,,,"21,930.00"
,,,
,,,
"38,150.00","81,866.00",,
,,,"10,963.00"
,,,
,,,
"28,760.00","56,255.00",,
,,,"7,304.00"
,,,
,,,
"53,850.00",,,
,"93,587.00",,
,,,"17,723.00"
,,,
,,,
"34,490.00","74,375.00",,
,,,"13,188.00"
,,,
,,,
"77,790.00","164,260.00",,
,,,"32,353.00"
,,,
,,,
"27,600.00","78,047.00",,
,,,"13,360.00"
,,,
,,,
"40,880.00","64,082.00",,
,,,"6,499.00"
,,,
,,,
"73,420.00",,,
,"89,852.00",,
,,,"6,453.00"
,,,
,,,
"37,240.00","85,712.00",,
,,,"4,198.00"
,,,
,,,
"30,530.00","68,577.00",,
,,,"5,354.00"
,,,
,,,
"39,970.00","85,601.00",,
,,,"18,841.00"
,,,
,,,
"40,960.00","163,608.00",,
,,,"16,902.00"
,,,
,,,
"52,110.00",,,
,"89,775.00",,
,,,"4,369.00"
,,,
,,,
"41,790.00","91,720.00",,
,,,"11,258.00"
,,,
,,,
"73,420.00","157,765.00",,
,,,"16,415.00"
,,,
,,,
"71,010.00",,,
,"66,698.00",,
,,,"2,705.00"
,,,
,,,
"28,760.00","64,505.00",,
,,,"2,548.00"
,,,
,,,
"64,290.00","135,900.00",,
,,,"18,194.00"
,,,
,,,
"77,380.00","165,482.00",,
,,,"40,665.00"
,,,
,,,
"73,420.00",,,
,"152,480.00",,
,,,"16,151.00"
,,,
,,,
"36,230.00","80,072.00",,
,,,"10,226.00"
,,,
,,,
"62,550.00","133,441.00",,
,,,"23,951.00"
,,,
,,,
"30,530.00","57,390.00",,
,,,"2,320.00"
,,,
,,,
"31,080.00","68,691.00",,
,,,"12,177.00"
,,,
,,,
"30,500.00","65,795.00",,
,,,"10,694.00"
,,,
,,,
"38,150.00","67,855.00",,
,,,"2,763.00"
,,,
,,,
"73,420.00",,,
,"84,250.00",,
,,,"7,305.00"
,,,
,,,
"73,420.00",,,
,"154,051.00",,
,,,"47,357.00"
,,,
,,,
"27,540.00","61,991.00",,
,,,"2,332.00"
,,,
,,,
"71,250.00","149,578.00",,
,,,"15,295.00"
,,,
,,,
"73,420.00",,,
,"153,265.00",,
,,,"48,019.00"
,,,
,,,
"32,510.00","72,743.00",,
,,,"3,136.00"
,,,
,,,
"30,500.00","68,605.00",,
,,,"2,801.00"
,,,
,,,
"32,510.00","72,743.00",,
,,,"3,136.00"
,,,
,,,
"28,760.00","65,135.00",,
,,,"2,579.00"
,,,
,,,
"48,630.00","101,366.00",,
,,,"15,824.00"
,,,
,,,
"53,850.00","111,074.00",,
,,,"9,022.00"
,,,
,,,
"29,340.00","66,292.00",,
,,,"8,259.00"
,,,
,,,
"31,080.00","67,471.00",,
,,,"10,501.00"
,,,
,,,
"53,850.00","111,074.00",,
,,,"25,675.00"
,,,
,,,
"48,630.00","101,846.00",,
,,,"8,135.00"
,,,
,,,
"50,370.00",,,
,"70,870.00",,
,,,"8,685.00"
,,,
,,,
"29,920.00","67,428.00",,
,,,"8,082.00"
,,,
,,,
"52,110.00",,,
,"108,438.00",,
,,,"22,942.00"
,,,
,,,
"37,730.00","83,482.00",,
,,,"3,917.00"
,,,
,,,
"10,013.00","24,407.00",,
,,,
,,,0.00
,,,
,,,
"62,550.00",,,
,"131,271.00",,
,,,"20,094.00"
,,,
,,,
"74,730.00","172,129.00",,
,,,"42,503.00"
,,,
,,,
"72,990.00",,,
,"153,148.00",,
,,,"29,511.00"
,,,
,,,
"53,850.00","112,626.00",,
,,,"12,445.00"
,,,
,,,
"30,530.00","86,323.00",,
,,,"4,007.00"
,,,
,,,
"28,520.00","68,227.00",,
,,,"2,862.00"
,,,
,,,
"64,290.00","56,460.00",,
,,,"4,797.00"
,,,
,,,
"34,490.00","79,563.00",,
,,,"3,573.00"
,,,
,,,
"62,550.00","134,592.00",,
,,,"36,260.00"
,,,
,,,
"31,660.00","83,482.00",,
,,,"3,917.00"
,,,
,,,
"34,490.00","82,025.00",,
,,,"15,468.00"
,,,
,,,
"59,070.00",,,
,"123,832.00",,
,,,"21,435.00"
,,,
,,,
"59,070.00","121,874.00",,
,,,"11,140.00"
,,,
,,,
"62,550.00","78,507.00",,
,,,"3,520.00"
,,,
,,,
"62,550.00","131,271.00",,
,,,"12,549.00"
,,,
,,,
"29,340.00","66,292.00",,
,,,"2,685.00"
,,,
,,,
"42,700.00","90,903.00",,
,,,"10,604.00"
,,,
,,,
"66,030.00","137,950.00",,
,,,"13,053.00"
,,,
,,,
"42,230.00",,,
,"90,522.00",,
,,,"11,723.00"
,,,
,,,
"58,600.00","122,928.00",,
,,,"18,285.00"
,,,
,,,
"57,330.00",,,
,"83,697.00",,
,,,"3,927.00"
,,,
,,,
"59,070.00","121,874.00",,
,,,"25,342.00"
,,,
,,,
"41,670.00",,,
,"87,487.00",,
,,,"6,639.00"
,,,
,,,
"31,750.00","70,888.00",,
,,,"3,733.00"
,,,
,,,
"30,520.00",,,
,"84,267.00",,
,,,"3,956.00"
,,,
,,,
"43,410.00","92,886.00",,
,,,"13,593.00"
,,,
,,,
"41,670.00","90,199.00",,
,,,"12,753.00"
,,,
,,,
"43,410.00",,,
,"89,414.00",,
,,,"6,831.00"
,,,
,,,
"41,670.00","89,879.00",,
,,,"8,514.00"
,,,
,,,
"35,200.00","78,399.00",,
,,,"5,854.00"
,,,
,,,
"33,640.00",,,
,"42,924.00",,
,,,"1,492.00"
,,,
,,,
"31,750.00","71,167.00",,
,,,"3,747.00"
,,,
,,,
"30,440.00","65,864.00",,
,,,"3,434.00"
,,,
,,,
"31,750.00","68,389.00",,
,,,"3,608.00"
,,,
,,,
"30,440.00","68,642.00",,
,,,"3,573.00"
,,,
,,,
"33,060.00","73,693.00",,
,,,"3,921.00"
,,,
,,,
"33,640.00",,,
,"71,744.00",,
,,,"7,474.00"
,,,
,,,
"36,450.00","80,311.00",,
,,,"6,280.00"
,,,
,,,
"33,640.00","71,344.00",,
,,,"5,454.00"
,,,
,,,
"18,720.00",,,
,"38,708.00",,
,,,"1,492.00"
,,,
,,,
"16,990.00","41,906.00",,
,,,
,,,984.00
,,,
,,,
"36,450.00","76,858.00",,
,,,"6,107.00"
,,,
,,,
"34,710.00","75,589.00",,
,,,"5,996.00"
,,,
,,,
"26,190.00","54,348.00",,
,,,"2,590.00"
,,,
,,,
"16,560.00","40,424.00",,
,,,
,,,"3,984.00"
,,,
,,,
"17,250.00","39,058.00",,
,,,
,,,"4,681.00"
,,,
,,,
"23,890.00",,,
,"40,424.00",,
,,,984.00
,,,
,,,
"16,560.00","38,418.00",,
,,,
,,,"3,479.00"
,,,
,,,
"16,560.00","39,524.00",,
,,,
,,,"2,571.00"
,,,
,,,
"23,890.00","40,424.00",,
,,,984.00
,,,
,,,
"25,200.00","59,895.00",,
,,,"6,537.00"
,,,
,,,
"19,310.00","45,703.00",,
,,,
,,,"1,530.00"
,,,
,,,
"30,520.00","68,766.00",,
,,,"5,229.00"
,,,
,,,
"25,200.00",,,
,"53,778.00",,
,,,"2,733.00"
,,,
,,,
"20,480.00","48,357.00",,
,,,
,,,"1,810.00"
,,,
,,,
"20,480.00","42,807.00",,
,,,"1,810.00"
,,,
,,,
"25,200.00",,,
,"57,231.00",,
,,,"2,906.00"
,,,
,,,
"26,510.00","58,320.00",,
,,,"2,960.00"
,,,
,,,
"20,480.00","48,357.00",,
,,,
,,,"1,810.00"
,,,
,,,
"30,520.00",,,
,"66,488.00",,
,,,"5,115.00"
,,,
,,,
"16,560.00","37,668.00",,
,,,984.00
,,,
,,,
"20,480.00","46,102.00",,
,,,
,,,"1,810.00"
,,,
,,,
"20,480.00","46,052.00",,
,,,
,,,"3,477.00"
,,,
,,,
"30,520.00","65,631.00",,
,,,"5,072.00"
,,,
,,,
"21,830.00","40,424.00",,
,,,984.00
,,,
,,,
"25,200.00","57,012.00",,
,,,"2,895.00"
,,,
,,,
"20,480.00","46,102.00",,
,,,"1,810.00"
,,,
,,,
"25,200.00","56,593.00",,
,,,"2,874.00"
,,,
,,,
"16,130.00","38,793.00",,
,,,984.00
,,,
,,,
"26,510.00",,,
,"59,218.00",,
,,,"3,005.00"
,,,
,,,
"26,510.00","53,018.00",,
,,,"2,695.00"
,,,
,,,
"27,400.00","47,082.00",,
,,,"1,810.00"
,,,
,,,
"27,400.00",,,
,"61,632.00",,
,,,"4,824.00"
,,,
,,,
"15,700.00","38,961.00",,
,,,
,,,984.00
,,,
,,,
"25,200.00","59,790.00",,
,,,"3,034.00"
,,,
,,,
"18,230.00","44,382.00",,
,,,
,,,"1,762.00"
,,,
,,,
"22,580.00",,,
,"52,601.00",,
,,,"2,579.00"
,,,
,,,
"15,270.00","37,330.00",,
,,,
,,,984.00
,,,
,,,
"18,230.00",,,
,"44,532.00",,
,,,
,,,"1,762.00"
,,,
,,,
"23,890.00","57,585.00",,
,,,"2,876.00"
,,,
,,,
"25,840.00",,,
,"38,230.00",,
,,,984.00
,,,
,,,
"23,890.00","57,694.00",,
,,,"2,881.00"
,,,
,,,
"50,370.00","103,224.00",,
,,,"7,844.00"
,,,
,,,
"25,200.00","61,012.00",,
,,,"3,095.00"
,,,
,,,
"17,330.00","40,000.00",,
,,,"2,929.00"
,,,
,,,
"23,890.00","55,372.00",,
,,,"2,765.00"
,,,
,,,
"25,840.00",,,
,"65,112.00",,
,,,"5,280.00"
,,,
,,,
"36,760.00","81,664.00",,
,,,"17,046.00"
,,,
,,,
"27,750.00","64,751.00",,
,,,"13,041.00"
,,,
,,,
"25,840.00","62,139.00",,
,,,"4,801.00"
,,,
,,,
"23,890.00",,,
,"54,807.00",,
,,,"2,737.00"
,,,
,,,
"23,890.00",,,
,"54,807.00",,
,,,"2,737.00"
,,,
,,,
"26,010.00","61,791.00",,
,,,"5,114.00"
,,,
,,,
"23,890.00",,,
,"54,916.00",,
,,,"4,409.00"
,,,
,,,
"23,890.00","58,807.00",,
,,,"3,635.00"
,,,
,,,
"23,890.00",,,
,"54,807.00",,
,,,"2,737.00"
,,,
,,,
"23,890.00","60,725.00",,
,,,"3,033.00"
,,,
,,,
"25,200.00",,,
,"57,012.00",,
,,,"2,895.00"
,,,
,,,
"23,890.00","57,585.00",,
,,,"2,876.00"
,,,
,,,
"31,750.00","70,927.00",,
,,,"3,735.00"
,,,
,,,
"23,890.00","57,585.00",,
,,,"2,876.00"
,,,
,,,
"23,890.00",,,
,"54,807.00",,
,,,"2,737.00"
,,,
,,,
"23,890.00",,,
,"54,807.00",,
,,,"2,737.00"
,,,
,,,
"25,840.00",,,
,"58,604.00",,
,,,"4,601.00"
,,,
,,,
"23,890.00","54,807.00",,
,,,"2,737.00"
,,,
,,,
"23,890.00",,,
,"42,230.00",,
,,,984.00
,,,
,,,
"34,370.00","72,650.00",,
,,,"16,180.00"
,,,
,,,
"27,400.00","64,767.00",,
,,,"4,981.00"
,,,
,,,
"15,270.00","37,330.00",,
,,,
,,,984.00
,,,
,,,
"15,270.00","36,224.00",,
,,,"5,477.00"
,,,
,,,
"27,750.00","64,001.00",,
,,,"5,273.00"
,,,
,,,
"25,840.00","62,907.00",,
,,,"4,840.00"
,,,
,,,
"25,840.00","62,007.00",,
,,,"4,795.00"
,,,
,,,
"25,840.00","59,672.00",,
,,,"4,678.00"
,,,
,,,
"25,840.00","62,139.00",,
,,,"4,801.00"
,,,
,,,
"25,840.00","62,007.00",,
,,,"4,795.00"
,,,
,,,
"14,410.00","36,767.00",,
,,,
,,,936.00
,,,
,,,
"14,410.00","36,767.00",,
,,,
,,,936.00
,,,
,,,
"14,410.00","36,767.00",,
,,,
,,,936.00
,,,
,,,
"14,410.00","34,761.00",,
,,,
,,,936.00
,,,
,,,
"14,410.00","36,767.00",,
,,,
,,,936.00
,,,
,,,
"14,410.00","36,767.00",,
,,,
,,,936.00
,,,
,,,
"14,410.00","36,767.00",,
,,,
,,,936.00
,,,
,,,
"14,410.00","36,767.00",,
,,,
,,,936.00
,,,
,,,
"14,410.00","36,767.00",,
,,,
,,,936.00
,,,
,,,
"14,410.00","36,767.00",,
,,,
,,,936.00
,,,
,,,
"14,410.00","36,767.00",,
,,,
,,,936.00
,,,
,,,
"16,730.00","39,727.00",,
,,,
,,,"1,714.00"
,,,
,,,
"16,730.00","41,982.00",,
,,,
,,,"1,714.00"
,,,
,,,
"16,730.00","41,982.00",,
,,,
,,,"1,714.00"
,,,
,,,
"14,410.00","36,767.00",,
,,,
,,,936.00
,,,
,,,
"14,410.00","36,767.00",,
,,,
,,,936.00
,,,
,,,
"14,410.00","36,767.00",,
,,,
,,,936.00
,,,
,,,
"14,410.00","34,761.00",,
,,,
,,,936.00
,,,
,,,
"14,410.00","36,767.00",,
,,,
,,,936.00
,,,
,,,
"14,410.00","34,761.00",,
,,,936.00
,,,
,,,
"24,280.00","56,376.00",,
,,,"4,465.00"
,,,
,,,
"14,410.00","36,767.00",,
,,,
,,,936.00
,,,
,,,
"18,130.00","45,255.00",,
,,,"1,932.00"
,,,
,,,
"19,650.00",,,
,"46,240.00",,
,,,
,,,"2,180.00"
,,,
,,,
"24,280.00","59,509.00",,
